"","T_MAPCODE","deg80","nat","notnat","prcdeg_step","prplost","D3_step","ext_step"
"370","SKv6",0.0044,4676.1964,38.3316,0,0.00813052000660765,"LC",0.142054469707325
"371","SKv7",0,496.2288,157.16,0,0.240530599851115,"LC",0
"372","SKv8",0,3977.1736,131.7424,0,0.0320625683270235,"LC",0.34529720247384
"373","SVcb1",0,5108.9436,1542.7132,0,0.231929163873879,"LC",0
"374","SVcb10",0,919.9304,522.1844,0,0.36209627693995,"LC",0
"375","SVcb11",0,2493.7164,791.8508,0,0.241008858379156,"LC",0
"376","SVcb12",0,10861.2488,6522.7864,0,0.375217049721574,"LC",0
"377","SVcb13",0,1920.2624,146.088,0,0.0706985610959303,"LC",0
"378","SVcb14",0,441.6112,318.2916,0,0.418858306615004,"LC",0
"379","SVcb15",0,2856.2836,4341.9052,0,0.603194125722293,"LC",0
"380","SVcb16",0,9880.8224,2197.6828,0,0.181949898899741,"LC",0
"381","SVcb17",0,8215.3944,685.7152,0,0.0770370471564579,"LC",0
"382","SVcb18",0,5101.796,1394.628,0,0.214676258815619,"LC",0
"383","SVcb19",0,10665.6488,1356.0116,0,0.112797363665339,"LC",0
"384","SVcb2",0,1075.9036,31.5972,0,0.0285301825515611,"LC",0
"385","SVcb20",0,6219.5264,3891.4252,0,0.384872300249167,"LC",0
"386","SVcb21",0,3044.5048,1103.2668,0,0.265990248836267,"LC",0
"387","SVcb22",0,0.5364,0.0716,0,0.117763157894737,"LC",0
"388","SVcb23",0,2519.5136,1925.7792,0,0.433217627419278,"LC",0
"389","SVcb24",0,596.7008,70.2472,0,0.105326352279338,"LC",0
"390","SVcb25",0,823.9828,67.3712,0,0.07558298947444,"LC",0
"391","SVcb26",0,1747.568,252.4572,0,0.12622700953968,"LC",0
"392","SVcb27",0,1210.3048,1312.5388,0,0.520261660294756,"LC",0
"393","SVcb28",0,1809.7552,506.3612,0,0.21862510882441,"LC",0
"394","SVcb29",0,373.7024,14.4624,0,0.0372584015861304,"LC",0
"395","SVcb3",0,889.2924,442.7264,0,0.332372486033981,"LC",0
"396","SVcb4",0,3661.6536,461.0396,0,0.111829713644469,"LC",0
"397","SVcb5",0,359.834,7.28,0,0.0198303524245875,"LC",0
"398","SVcb6",0,708.8188,1576.2428,0,0.689803198303276,"LC",0
"399","SVcb7",0,360.8224,130.5676,0,0.265710738924276,"LC",0
"400","SVcb8",0,843.5432,989.8052,0,0.539889308546046,"LC",0
"401","SVcb9",0,2593.9332,510.564,0,0.164459481554694,"LC",0
"402","SVk1",0,12001.9712,3429.6384,0,0.22224761310706,"LC",0
"403","SVk10",0,5539.7716,299.2684,0,0.0512530141941141,"LC",0
"404","SVk11",0,13625.0812,272.6028,0,0.0196149804528582,"LC",0
"405","SVk12",0,7252.702,199.9124,0,0.0268244657874692,"LC",0
"406","SVk13",0,8409.2452,108.4368,0,0.0127307875546422,"LC",0
"407","SVk14",0,880.8828,48.3396,0,0.0520215612537967,"LC",0
"408","SVk15",0,1617.2468,3.6288,0,0.00223878994785288,"LC",0
"409","SVk16",0,7905.7792,12.8356,0,0.00162094006643687,"LC",0
"410","SVk17",0,3753.3348,3484.384,0,0.481420195545591,"LC",0
"411","SVk18",0,953.0408,46.5496,0,0.0465686745290871,"LC",0
"412","SVk2",0,3227.4272,979.152,0,0.232766804913598,"LC",0
"413","SVk3",0,576.3168,790.6068,0,0.578384044287479,"LC",0
"414","SVk4",0,12454.8404,4194.9496,0,0.251952102699193,"LC",0
"415","SVk5",0,1418.4072,39.4976,0,0.0270920296030303,"LC",0
"416","SVk6",0,4220.6184,1093.3008,0,0.205742834780025,"LC",0
"417","SVk7",0,13112.5632,247.9828,0,0.018560828277527,"LC",0
"418","SVk8",0,3235.8716,127.682,0,0.0379604475457148,"LC",0
"419","SVk9",0,5504.05,275.4408,0,0.0476583161962988,"LC",0
"420","SVkd1",0,37004.6124,62.1984,0,0.00167800786357374,"LC",0
"421","SVkd2",0,2239.478,2.8644,0,0.00127741418973302,"LC",0
"422","SVkd3",0,2898.114,0.4736,0,0.000163389921353421,"LC",0
"423","SVkd4",0,762.27,0.214,0,0.000280661626998075,"LC",0
"424","SVl1",0,1579.9196,510.7536,0,0.244301022273591,"LC",0
"425","SVl10",0,615.2948,327.4912,0,0.347365361810634,"LC",0
"426","SVl11",0,596.512,34.0904,0,0.0540600543226604,"LC",0
"427","SVl12",0,368.4612,99.934,0,0.21335402241526,"LC",0
"428","SVl13",0,72.8064,36.6952,0,0.335111085134829,"LC",0
"429","SVl14",0,3420.3252,1039.9668,0,0.233161147297083,"LC",0
"430","SVl15",0,1343.9672,2.0748,0,0.00154140806899042,"LC",0
"431","SVl16",0,2251.7884,333.512,0,0.129003190499642,"LC",0
"432","SVl17",0,42.6904,92.0656,0,0.683202232182612,"LC",0
"433","SVl18",0,865.0572,259.382,0,0.230676767583343,"LC",0
"434","SVl19",0,80.752,72.2024,0,0.472051801059662,"LC",0
"435","SVl2",0,183.8788,0.0252,0,0.000137028014616322,"LC",0
"436","SVl20",0,648.3728,996.7232,0,0.60587540180026,"LC",0
"437","SVl21",0,268.67,66.4296,0,0.198238374501193,"LC",0
"438","SVl22",0,3681.6548,1492.0504,0,0.288391074157066,"LC",0
"439","SVl23",0,5704.6264,2860.1024,0,0.333939633908782,"LC",0
"440","SVl24",0,182.1336,512.4832,0,0.737792693755751,"LC",0
"441","SVl25",0,472.8812,187.7768,0,0.284226937386666,"LC",0
"442","SVl26",0,510.2984,193.3,0,0.274730584947322,"LC",0
"443","SVl27",0,426.764,113.1196,0,0.209525905213642,"LC",0
"444","SVl3",0,14881.9284,4957.1948,0,0.249869651497502,"LC",0
"445","SVl4",0,1968.0348,754.0744,0,0.277018423801661,"LC",0
"446","SVl5",0,2975.2992,594.9456,0,0.166640001828446,"LC",0
"447","SVl6",0,757.7248,2.5236,0,0.00331944138257969,"LC",0
"448","SVl7",0,286.2144,37.3036,0,0.115306103524379,"LC",0
"449","SVl8",0,1748.676,1650.8256,0,0.485608125614649,"LC",0
"450","SVl9",0,1115.7764,2446.7356,0,0.686800662004788,"LC",0
"451","SVmp1",0,8133.1276,664.2104,0,0.0755012936867948,"LC",0
"452","SVmp2",0,2718.234,67.4744,0,0.0242216306631376,"LC",0
