"","nlc2022_7class","T_MAPCODE","PROVINCE","n"
"482","6","Dg1","Eastern Cape",0
"483","7","Dg1","Eastern Cape",0
"484","1","Dg10","Eastern Cape",0
"485","2","Dg10","Eastern Cape",0
"486","3","Dg10","Eastern Cape",0
"487","4","Dg10","Eastern Cape",0
"488","5","Dg10","Eastern Cape",0
"489","6","Dg10","Eastern Cape",0
"490","7","Dg10","Eastern Cape",0
"491","1","Dg2","Eastern Cape",0
"492","2","Dg2","Eastern Cape",0
"493","3","Dg2","Eastern Cape",0
"494","4","Dg2","Eastern Cape",0
"495","5","Dg2","Eastern Cape",0
"496","6","Dg2","Eastern Cape",0
"497","7","Dg2","Eastern Cape",0
"498","1","Dg3","Eastern Cape",0
"499","2","Dg3","Eastern Cape",0
"500","3","Dg3","Eastern Cape",0
"501","4","Dg3","Eastern Cape",0
"502","5","Dg3","Eastern Cape",0
"503","6","Dg3","Eastern Cape",0
"504","7","Dg3","Eastern Cape",0
"505","1","Dg4","Eastern Cape",0
"506","2","Dg4","Eastern Cape",0
"507","3","Dg4","Eastern Cape",0
"508","4","Dg4","Eastern Cape",0
"509","5","Dg4","Eastern Cape",0
"510","6","Dg4","Eastern Cape",0
"511","7","Dg4","Eastern Cape",0
"512","1","Dg5","Eastern Cape",0
"513","2","Dg5","Eastern Cape",0
"514","3","Dg5","Eastern Cape",0
"515","4","Dg5","Eastern Cape",0
"516","5","Dg5","Eastern Cape",0
"517","6","Dg5","Eastern Cape",0
"518","7","Dg5","Eastern Cape",0
"519","1","Dg6","Eastern Cape",0
"520","2","Dg6","Eastern Cape",0
"521","3","Dg6","Eastern Cape",0
"522","4","Dg6","Eastern Cape",0
"523","5","Dg6","Eastern Cape",0
"524","6","Dg6","Eastern Cape",0
"525","7","Dg6","Eastern Cape",0
"526","1","Dg7","Eastern Cape",0
"527","2","Dg7","Eastern Cape",0
"528","3","Dg7","Eastern Cape",0
"529","4","Dg7","Eastern Cape",0
"530","5","Dg7","Eastern Cape",0
"531","6","Dg7","Eastern Cape",0
"532","7","Dg7","Eastern Cape",0
"533","1","Dg8","Eastern Cape",0
"534","2","Dg8","Eastern Cape",0
"535","3","Dg8","Eastern Cape",0
"536","4","Dg8","Eastern Cape",0
"537","5","Dg8","Eastern Cape",0
"538","6","Dg8","Eastern Cape",0
"539","7","Dg8","Eastern Cape",0
"540","1","Dg9","Eastern Cape",0
"541","2","Dg9","Eastern Cape",0
"542","3","Dg9","Eastern Cape",0
"543","4","Dg9","Eastern Cape",0
"544","5","Dg9","Eastern Cape",0
"545","6","Dg9","Eastern Cape",0
"546","7","Dg9","Eastern Cape",0
"547","1","Dn1","Eastern Cape",0
"548","2","Dn1","Eastern Cape",0
"549","3","Dn1","Eastern Cape",0
"550","4","Dn1","Eastern Cape",0
"551","5","Dn1","Eastern Cape",0
"552","6","Dn1","Eastern Cape",0
"553","7","Dn1","Eastern Cape",0
"554","1","Dn2","Eastern Cape",0
"555","2","Dn2","Eastern Cape",0
"556","3","Dn2","Eastern Cape",0
"557","4","Dn2","Eastern Cape",0
"558","5","Dn2","Eastern Cape",0
"559","6","Dn2","Eastern Cape",0
"560","7","Dn2","Eastern Cape",0
"561","1","Dn3","Eastern Cape",0
"562","2","Dn3","Eastern Cape",0
"563","3","Dn3","Eastern Cape",0
"564","4","Dn3","Eastern Cape",0
"565","5","Dn3","Eastern Cape",0
"566","6","Dn3","Eastern Cape",0
"567","7","Dn3","Eastern Cape",0
"568","1","Dn4","Eastern Cape",0
"569","2","Dn4","Eastern Cape",0
"570","3","Dn4","Eastern Cape",0
"571","4","Dn4","Eastern Cape",0
"572","5","Dn4","Eastern Cape",0
"573","6","Dn4","Eastern Cape",0
"574","7","Dn4","Eastern Cape",0
"575","1","Dn5","Eastern Cape",0
"576","2","Dn5","Eastern Cape",0
"577","3","Dn5","Eastern Cape",0
"578","4","Dn5","Eastern Cape",0
"579","5","Dn5","Eastern Cape",0
"580","6","Dn5","Eastern Cape",0
"581","7","Dn5","Eastern Cape",0
"582","1","FFa1","Eastern Cape",0
"583","2","FFa1","Eastern Cape",0
"584","3","FFa1","Eastern Cape",0
"585","4","FFa1","Eastern Cape",0
"586","5","FFa1","Eastern Cape",0
"587","6","FFa1","Eastern Cape",0
"588","7","FFa1","Eastern Cape",0
"589","1","FFa2","Eastern Cape",0
"590","2","FFa2","Eastern Cape",0
"591","3","FFa2","Eastern Cape",0
"592","4","FFa2","Eastern Cape",0
"593","5","FFa2","Eastern Cape",0
"594","6","FFa2","Eastern Cape",0
"595","7","FFa2","Eastern Cape",0
"596","1","FFa3","Eastern Cape",0
"597","2","FFa3","Eastern Cape",0
"598","3","FFa3","Eastern Cape",0
"599","4","FFa3","Eastern Cape",0
"600","5","FFa3","Eastern Cape",0
"601","6","FFa3","Eastern Cape",0
"602","7","FFa3","Eastern Cape",0
"603","1","FFa4","Eastern Cape",0
"604","2","FFa4","Eastern Cape",0
"605","3","FFa4","Eastern Cape",0
"606","4","FFa4","Eastern Cape",0
"607","5","FFa4","Eastern Cape",0
"608","6","FFa4","Eastern Cape",0
"609","7","FFa4","Eastern Cape",0
"610","1","FFb1","Eastern Cape",0
"611","2","FFb1","Eastern Cape",0
"612","3","FFb1","Eastern Cape",0
"613","4","FFb1","Eastern Cape",0
"614","5","FFb1","Eastern Cape",0
"615","6","FFb1","Eastern Cape",0
"616","7","FFb1","Eastern Cape",0
"617","1","FFb2","Eastern Cape",0
"618","2","FFb2","Eastern Cape",0
"619","3","FFb2","Eastern Cape",0
"620","4","FFb2","Eastern Cape",0
"621","5","FFb2","Eastern Cape",0
"622","6","FFb2","Eastern Cape",0
"623","7","FFb2","Eastern Cape",0
"624","1","FFb3","Eastern Cape",0
"625","2","FFb3","Eastern Cape",0
"626","3","FFb3","Eastern Cape",0
"627","4","FFb3","Eastern Cape",0
"628","5","FFb3","Eastern Cape",0
"629","6","FFb3","Eastern Cape",0
"630","7","FFb3","Eastern Cape",0
"631","1","FFb4","Eastern Cape",0
"632","2","FFb4","Eastern Cape",0
"633","3","FFb4","Eastern Cape",0
"634","4","FFb4","Eastern Cape",0
"635","5","FFb4","Eastern Cape",0
"636","6","FFb4","Eastern Cape",0
"637","7","FFb4","Eastern Cape",0
"638","1","FFb5","Eastern Cape",223054
"639","2","FFb5","Eastern Cape",12489
"640","3","FFb5","Eastern Cape",293
"641","4","FFb5","Eastern Cape",611
"642","5","FFb5","Eastern Cape",17412
"643","6","FFb5","Eastern Cape",9
"644","7","FFb5","Eastern Cape",451
"645","1","FFb6","Eastern Cape",52070
"646","2","FFb6","Eastern Cape",19955
"647","3","FFb6","Eastern Cape",1562
"648","4","FFb6","Eastern Cape",4960
"649","5","FFb6","Eastern Cape",61172
"650","6","FFb6","Eastern Cape",28
"651","7","FFb6","Eastern Cape",20214
"652","1","FFc1","Eastern Cape",0
"653","2","FFc1","Eastern Cape",0
"654","3","FFc1","Eastern Cape",0
"655","4","FFc1","Eastern Cape",0
"656","5","FFc1","Eastern Cape",0
"657","6","FFc1","Eastern Cape",0
"658","7","FFc1","Eastern Cape",0
"659","1","FFd1","Eastern Cape",0
