"","T_MAPCODE","nat","notnat","prclost_alt","A3","ext_wc","ext_kzn","ext_mpl"
"261","Gm23",877.498,496.3972,36,"LC",0,0,0.675941221717639
"262","Gm24",9.8676,0.1408,1,"LC",0,0,0.801167019703449
"263","Gm25",103.7604,326.8628,76,"EN",0,0,0
"264","Gm26",242.3812,18.2572,7,"LC",0,0,0
"265","Gm27",261.1268,6.9264,3,"LC",0,0,0
"266","Gm28",91.4932,2.3596,3,"LC",0,0,0
"267","Gm29",502.7916,20.4952,4,"LC",0,0,0
"268","Gm3",6008.6756,9055.1968,60,"EN",0,0,0
"269","Gm30",3024.9632,833.7456,22,"LC",0,0,0.999918107321288
"270","Gm31",636.8388,411.3332,39,"LC",0,0,0.988702235892582
"271","Gm4",7448.1024,6806.5284,48,"LC",0,0.0028872862845385,0
"272","Gm5",2463.8196,1005.9104,29,"LC",0,0.0079464396365135,0
"273","Gm6",5518.608,4372.9824,44,"LC",0,0,0.0511760778125224
"274","Gm7",27.726,2.3036,8,"LC",0,0,0.214122066227988
"275","Gm8",6612.8232,7880.0728,54,"EN",0,0,0.674375970130469
"276","Gm9",460.1888,853.0888,65,"EN",0,0,0.159914400428363
"277","Gs1",304.338,234.9024,44,"LC",0,1,0
"278","Gs10",7700.8708,3243.8336,30,"LC",0,0.344883174734258,0
"279","Gs11",1187.5264,1154.6456,49,"LC",0,0.99999982921835,0
"280","Gs12",4770.7548,3957.3336,45,"LC",0,0.166802343569297,0
"281","Gs13",149.3924,343.5752,70,"EN",0,0.0133339391878898,0
"282","Gs14",2135.4972,3146.2028,60,"EN",0,0,0
"283","Gs15",3707.5092,2429.7748,40,"LC",0,0,0
"284","Gs16",2980.112,626.1892,17,"LC",0,0,0
"285","Gs17",4171.0516,71.1176,2,"LC",0,0,0
"286","Gs18",1407.4284,26.5184,2,"LC",0,0,0
"287","Gs19",1606.6648,1417.586,47,"LC",0,0.919749909630511,0
"288","Gs2",1267.0016,278.4812,18,"LC",0,0.531391743732121,0.153198210940943
"289","Gs20",2758.2232,3522.3556,56,"EN",0,0.702311322007456,0
"290","Gs3",1585.9428,156.3228,9,"LC",0,0.778816272329546,0.0974753791844366
"291","Gs4",4454.562,2985.892,40,"LC",0,1,0
"292","Gs6",3269.3596,1958.1224,37,"LC",0,0.999805642563666,0.000194357436333592
"293","Gs7",2163.824,2489.7548,54,"EN",0,1,0
"294","Gs8",1834.5312,1027.952,36,"LC",0,1,0
"295","Gs9",2517.7668,4454.3592,64,"EN",0,0.805984343943296,0
"296","NKb1",4637.4612,33.6816,1,"LC",0,0,0
"297","NKb2",601.3572,6.082,1,"LC",0,0,0
"298","NKb3",40920.3304,333.1364,1,"LC",7.87230807957211e-05,0,0
"299","NKb4",2670.1444,6.884,0,"LC",0,0,0
"300","NKb5",8543.4136,95.428,1,"LC",0,0,0
"301","NKb6",40910.1924,340.4704,1,"LC",7.80205645568439e-05,0,0
"302","NKl1",19968.5752,237.4744,1,"LC",0.914591103448544,0,0
"303","NKl2",8163.9516,157.4948,2,"LC",0.0473160050637351,0,0
"304","NKl4",683.2968,59.4592,8,"LC",0,0,0
"305","NKu1",16964.8068,184.7176,1,"LC",0.0314572921917298,0,0
"306","NKu2",11699.6088,34.6892,0,"LC",0.333469969826913,0,0
