"","nlc2022_7class","T_MAPCODE","coct_cond10","n"
"12974","3","SVmp2","8",0
"12975","4","SVmp2","8",0
"12976","5","SVmp2","8",0
"12977","6","SVmp2","8",0
"12978","7","SVmp2","8",0
"12979","1","SVmp3","8",0
"12980","2","SVmp3","8",0
"12981","3","SVmp3","8",0
"12982","4","SVmp3","8",0
"12983","5","SVmp3","8",0
"12984","6","SVmp3","8",0
"12985","7","SVmp3","8",0
"12986","1","SVmp4","8",0
"12987","2","SVmp4","8",0
"12988","3","SVmp4","8",0
"12989","4","SVmp4","8",0
"12990","5","SVmp4","8",0
"12991","6","SVmp4","8",0
"12992","7","SVmp4","8",0
"12993","1","SVmp5","8",0
"12994","2","SVmp5","8",0
"12995","3","SVmp5","8",0
"12996","4","SVmp5","8",0
"12997","5","SVmp5","8",0
"12998","6","SVmp5","8",0
"12999","7","SVmp5","8",0
"13000","1","SVmp6","8",0
"13001","2","SVmp6","8",0
"13002","3","SVmp6","8",0
"13003","4","SVmp6","8",0
"13004","5","SVmp6","8",0
"13005","6","SVmp6","8",0
"13006","7","SVmp6","8",0
"13007","1","SVmp7","8",0
"13008","2","SVmp7","8",0
"13009","3","SVmp7","8",0
"13010","4","SVmp7","8",0
"13011","5","SVmp7","8",0
"13012","6","SVmp7","8",0
"13013","7","SVmp7","8",0
"13014","1","SVmp8","8",0
"13015","2","SVmp8","8",0
"13016","3","SVmp8","8",0
"13017","4","SVmp8","8",0
"13018","5","SVmp8","8",0
"13019","6","SVmp8","8",0
"13020","7","SVmp8","8",0
"13021","1","SVs1","8",0
"13022","2","SVs1","8",0
"13023","3","SVs1","8",0
"13024","4","SVs1","8",0
"13025","5","SVs1","8",0
"13026","6","SVs1","8",0
"13027","7","SVs1","8",0
"13028","1","SVs2","8",0
"13029","2","SVs2","8",0
"13030","3","SVs2","8",0
"13031","4","SVs2","8",0
"13032","5","SVs2","8",0
"13033","6","SVs2","8",0
"13034","7","SVs2","8",0
"13035","1","SVs3","8",0
"13036","2","SVs3","8",0
"13037","3","SVs3","8",0
"13038","4","SVs3","8",0
"13039","5","SVs3","8",0
"13040","6","SVs3","8",0
"13041","7","SVs3","8",0
"13042","1","SVs4","8",0
"13043","2","SVs4","8",0
"13044","3","SVs4","8",0
"13045","4","SVs4","8",0
"13046","5","SVs4","8",0
"13047","6","SVs4","8",0
"13048","7","SVs4","8",0
"13049","1","SVs5","8",0
"13050","2","SVs5","8",0
"13051","3","SVs5","8",0
"13052","4","SVs5","8",0
"13053","5","SVs5","8",0
"13054","6","SVs5","8",0
"13055","7","SVs5","8",0
"13056","1","SVs6","8",0
"13057","2","SVs6","8",0
"13058","3","SVs6","8",0
"13059","4","SVs6","8",0
"13060","5","SVs6","8",0
"13061","6","SVs6","8",0
"13062","7","SVs6","8",0
"13063","1","SVs7","8",0
"13064","2","SVs7","8",0
"13065","3","SVs7","8",0
"13066","4","SVs7","8",0
"13067","5","SVs7","8",0
"13068","6","SVs7","8",0
"13069","7","SVs7","8",0
"13070","1","SVs8","8",0
"13071","2","SVs8","8",0
"13072","3","SVs8","8",0
"13073","4","SVs8","8",0
"13074","5","SVs8","8",0
"13075","6","SVs8","8",0
"13076","7","SVs8","8",0
"13077","1","AT15","99",36427
"13078","2","AT15","99",56
"13079","3","AT15","99",5
"13080","4","AT15","99",3
"13081","5","AT15","99",0
"13082","6","AT15","99",0
"13083","7","AT15","99",0
"13084","1","AT16","99",127912
"13085","2","AT16","99",3810
"13086","3","AT16","99",167
"13087","4","AT16","99",226
"13088","5","AT16","99",952
"13089","6","AT16","99",1376
"13090","7","AT16","99",0
"13091","1","AT17","99",1441273
"13092","2","AT17","99",119263
"13093","3","AT17","99",1175
"13094","4","AT17","99",13001
"13095","5","AT17","99",243479
"13096","6","AT17","99",227
"13097","7","AT17","99",4638
"13098","1","AT18","99",2586904
"13099","2","AT18","99",117003
"13100","3","AT18","99",1036
"13101","4","AT18","99",5307
"13102","5","AT18","99",226783
"13103","6","AT18","99",34
"13104","7","AT18","99",2318
"13105","1","AT19","99",2654883
"13106","2","AT19","99",17068
"13107","3","AT19","99",4745
"13108","4","AT19","99",3932
"13109","5","AT19","99",14225
"13110","6","AT19","99",32
"13111","7","AT19","99",15
"13112","1","AT20","99",49913
"13113","2","AT20","99",5581
"13114","3","AT20","99",222
"13115","4","AT20","99",32092
"13116","5","AT20","99",0
"13117","6","AT20","99",965
"13118","7","AT20","99",5
"13119","1","AT21","99",776990
"13120","2","AT21","99",44957
"13121","3","AT21","99",22630
"13122","4","AT21","99",46013
"13123","5","AT21","99",74679
"13124","6","AT21","99",194
"13125","7","AT21","99",316
"13126","1","AT22","99",231207
"13127","2","AT22","99",82406
"13128","3","AT22","99",8944
"13129","4","AT22","99",105838
"13130","5","AT22","99",109779
"13131","6","AT22","99",292
"13132","7","AT22","99",119
"13133","1","AT23","99",670434
"13134","2","AT23","99",56576
"13135","3","AT23","99",312
"13136","4","AT23","99",22891
"13137","5","AT23","99",27458
"13138","6","AT23","99",12
"13139","7","AT23","99",260
"13140","1","AT24","99",6495337
"13141","2","AT24","99",421826
"13142","3","AT24","99",5090
"13143","4","AT24","99",136903
"13144","5","AT24","99",377458
"13145","6","AT24","99",133
