"","T_MAPCODE","deg80","nat","notnat","prcdeg_lk","D3_lk","ext_lk"
"354","SKs6",0,122.776,0.5108,0,"LC",0
"355","SKs7",0,2539.8468,611.8636,0,"LC",0
"356","SKs8",0,727.32,140.742,0,"LC",0
"357","SKs9",0,884.7328,32.7064,0,"LC",0
"358","SKt1",0,101.3124,0.4488,0,"LC",0
"359","SKt2",0,7313.084,319.4884,0,"LC",0
"360","SKt3",0,5222.6276,135.3452,0,"LC",0
"361","SKv1",0,447.9144,92.816,0,"LC",0
"362","SKv10",43.5432,183.992,12.6436,19,"LC",1
"363","SKv11",332.2424,1045.4924,200.7208,24,"LC",0.983205102506526
"364","SKv13",2.642,2511.1808,41.3676,0,"LC",0.0108165716339573
"365","SKv14",0,769.3408,24,0,"LC",0
"366","SKv2",0,557.1144,2.258,0,"LC",0
"367","SKv3",0,902.9348,25.6464,0,"LC",0
"368","SKv4",0,1313.6312,4.7448,0,"LC",0
"369","SKv5",0,6923.8508,64.36,0,"LC",0
"370","SKv6",0.6832,4674.3928,39.4564,0,"LC",0.00578466700112189
"371","SKv7",0,496.2288,157.16,0,"LC",0
"372","SKv8",592.7612,3345.32,170.8348,15,"LC",0.891646653277896
"373","SVcb1",0,5108.6948,1542.5504,0,"LC",0
"374","SVcb10",0,919.2336,522.8812,0,"LC",0
"375","SVcb11",0,2493.4596,792.1076,0,"LC",0
"376","SVcb12",0,10862.6708,6521.3644,0,"LC",0
"377","SVcb13",0,1920.6048,145.7456,0,"LC",0
"378","SVcb14",0,440.8968,319.006,0,"LC",0
"379","SVcb15",0,2856.156,4342.0328,0,"LC",0
"380","SVcb16",0,9881.096,2196.8588,0,"LC",0
"381","SVcb17",0,8214.6652,686.4444,0,"LC",0
"382","SVcb18",0,5101.796,1394.628,0,"LC",0
"383","SVcb19",0,10665.6488,1356.0116,0,"LC",0
"384","SVcb2",0,1075.8124,31.6884,0,"LC",0
"385","SVcb20",0,6219.5264,3891.4252,0,"LC",0
"386","SVcb21",0,3044.5048,1103.2668,0,"LC",0
"387","SVcb22",0,0.5364,0.0716,0,"LC",0
"388","SVcb23",0,2519.5136,1925.7792,0,"LC",0
"389","SVcb24",0,596.7008,70.2472,0,"LC",0
"390","SVcb25",0,823.7972,67.5568,0,"LC",0
"391","SVcb26",0,1747.574,252.4512,0,"LC",0
"392","SVcb27",0,1209.7512,1313.0924,0,"LC",0
"393","SVcb28",0,1809.9124,506.204,0,"LC",0
"394","SVcb29",0,373.5904,14.5744,0,"LC",0
"395","SVcb3",0,889.8316,442.1228,0,"LC",0
"396","SVcb4",0,3662.1356,460.1788,0,"LC",0
"397","SVcb5",0,359.7864,7.3276,0,"LC",0
"398","SVcb6",0,709.2788,1575.7828,0,"LC",0
"399","SVcb7",0,361.0544,130.3356,0,"LC",0
