"","nlc2022_7class","T_MAPCODE","littlekaroo_deg2","easternlittlekaroo_deg2","n"
"762","6","FFg2","0","0",0
"763","7","FFg2","0","0",0
"764","1","FFg3","0","0",0
"765","2","FFg3","0","0",0
"766","3","FFg3","0","0",0
"767","4","FFg3","0","0",0
"768","5","FFg3","0","0",0
"769","6","FFg3","0","0",0
"770","7","FFg3","0","0",0
"771","1","FFg4","0","0",0
"772","2","FFg4","0","0",0
"773","3","FFg4","0","0",0
"774","4","FFg4","0","0",0
"775","5","FFg4","0","0",0
"776","6","FFg4","0","0",0
"777","7","FFg4","0","0",0
"778","1","FFg5","0","0",0
"779","2","FFg5","0","0",0
"780","3","FFg5","0","0",0
"781","4","FFg5","0","0",0
"782","5","FFg5","0","0",0
"783","6","FFg5","0","0",0
"784","7","FFg5","0","0",0
"785","1","FFh1","0","0",0
"786","2","FFh1","0","0",0
"787","3","FFh1","0","0",0
"788","4","FFh1","0","0",0
"789","5","FFh1","0","0",0
"790","6","FFh1","0","0",0
"791","7","FFh1","0","0",0
"792","1","FFh10","0","0",0
"793","2","FFh10","0","0",0
"794","3","FFh10","0","0",0
"795","4","FFh10","0","0",0
"796","5","FFh10","0","0",0
"797","6","FFh10","0","0",0
"798","7","FFh10","0","0",0
"799","1","FFh11","0","0",0
"800","2","FFh11","0","0",0
"801","3","FFh11","0","0",0
"802","4","FFh11","0","0",0
"803","5","FFh11","0","0",0
"804","6","FFh11","0","0",0
"805","7","FFh11","0","0",0
"806","1","FFh2","0","0",0
"807","2","FFh2","0","0",0
"808","3","FFh2","0","0",0
"809","4","FFh2","0","0",0
"810","5","FFh2","0","0",0
"811","6","FFh2","0","0",0
"812","7","FFh2","0","0",0
"813","1","FFh3","0","0",0
"814","2","FFh3","0","0",0
"815","3","FFh3","0","0",0
"816","4","FFh3","0","0",0
"817","5","FFh3","0","0",0
"818","6","FFh3","0","0",0
"819","7","FFh3","0","0",0
"820","1","FFh4","0","0",0
"821","2","FFh4","0","0",0
"822","3","FFh4","0","0",0
"823","4","FFh4","0","0",0
